class,conversation,augmented_conversation
일반 대화,요즘 영양제 뭐 먹어? <LF> 종합비타민이랑 오메가3 챙겨 먹어. <LF> 피로는 좀 덜해졌어? <LF> 확실히 아침에 덜 피곤하긴 해. <LF> 빈속에 먹어도 돼? <LF> 종합비타민은 식사 후가 좋아. <LF> 오메가3도 같이 먹어? <LF> 응. 하루에 한 번이면 충분하대. <LF> 가격은 어때? <LF> 묶음으로 사면 꽤 괜찮아. <LF> 나도 루틴 만들어야겠어. <LF> 처음엔 알림 설정해두는 게 좋아. <LF> 영양제도 결국 꾸준함이 핵심이더라. <LF> 하루라도 빼먹으면 다시 습관 잡기 힘들어.,요즘 영양제 뭐 먹어? <LF> 종합비타민이랑 오메가3 챙겨 먹어. <LF> 피로는 좀 덜해졌어? <LF> 확실히 아침에 덜 해. <LF> 빈속에 먹어도 돼비타민은 후가 좋아. <LF> 3도 같이 먹어? <LF> . 에 한 번이면 충분하대.은 어때? <LF> 묶음으로 꽤 괜찮아. <LF> 나도 루틴 만들어야겠어. <LF> 처음엔 알림 설정해두는 게 좋아. <LF> 영양제도 결국 꾸준함이 핵심이더라. <LF> 하루라도 빼먹으면 다시 습관 잡기 힘들어.
일반 대화,다음 주 동창회 온다며? <LF> 응. 10년 만이라 기대돼. <LF> 장소는 어디로 정했어? <LF> 강남역 근처 고깃집으로 했어. <LF> 몇 명 정도 와? <LF> 지금까지 15명 확정됐어. <LF> 선생님도 오시나? <LF> 담임쌤이 오신다고 하더라! <LF> 그럼 선물도 준비해야겠다. <LF> 맞아. 꽃다발이랑 편지 준비 중이야. <LF> 정말 오랜만에 보는 얼굴들 기대돼. <LF> 단체 사진도 찍기로 했어. <LF> 옛날 이야기로 시간 순삭될 듯!,다음 주 동창회 온다며? <LF> 응. 만이라 기대돼. <LF> 는 어디로 정했어? <LF> 강남역 근처 고깃집 했어. <LF> 몇 명 와? <LF> 지금까지 15 확정됐어. <LF> 선생님도 나? <LF> 담임쌤이 오신다고 하더라! <LF>  선물도 준비해야겠다. <LF> 맞아. 꽃다발이랑 편지 준비 중이야. <LF> 정말 오랜만에 얼굴들 기대돼. <LF> 단체 사진도 찍기로 . <LF> 옛날 이야기로 시간 될 듯!
일반 대화,오늘 비 와서 약속 다 취소됐어. <LF> 아쉽겠다. 대신 뭐 할 거야? <LF> 집에서 영화 한 편 볼까 해. <LF> 무슨 장르 좋아해? <LF> 드라마나 감성적인 거 좋아해. <LF> 넷플릭스에서 뭐 괜찮은 거 있대? <LF> ‘소년시절의 너’ 추천 많이 하더라. <LF> 혼자 보면 울지도 몰라. <LF> 괜찮아. 감성 충전 필요했어. <LF> 끝나고 리뷰 들려줘. <LF> 응. 감상문 써서 보내줄게. <LF> 비 오는 날엔 역시 집콕이지. <LF> 따뜻한 차 한잔 곁들이면 완벽해.,오늘 비 와서 약속 다 취소됐어. 대신 할 거야? <LF> 에서 한 편 볼까 해. <LF> 무슨 좋아해?드라마나 감성적인 거 좋아해. <LF> 넷플릭스 뭐 괜찮은 거 있대? <LF> ‘소년의 너’ 추천 많이 하더라. <LF> 혼자 보면 울지도 몰라. <LF> 괜찮아. 감성 충전 . <LF> 끝나고 리뷰 들려줘.응. 감상문 써서 . <LF> 비 오는 날엔 역시 집콕이지. <LF> 따뜻한 차 한잔 곁들이면 완벽해.
일반 대화,오늘 지하철 진짜 사람 많았지? <LF> 응. 비도 오고 출근길이라 완전 만원. <LF> 누가 가방으로 자꾸 밀더라. <LF> 에티켓 좀 지켜야지. <LF> 이어폰 끼고 통화하는 사람도 있었어. <LF> 그건 진짜 민폐다. <LF> 나중엔 누가 밀쳐서 넘어질 뻔했어. <LF> 다치진 않았어? <LF> 다행히 괜찮았어. 다음부턴 일찍 나가야겠어. <LF> 정말 지하철 매너 교육 다시 필요해. <LF> 출근길은 진짜 매일 전쟁이야. <LF> 가끔은 자전거 출근도 고민 중이야.,오늘 지하철 진짜 사람  <LF> 응. 비도 오고 출근길이라 완전 . <LF> 누가 가방으로 자꾸 . <LF> 에티켓 지켜야지. <LF> 이어폰 끼고 통화하는 도 있었어. <LF> 그건 진짜 민폐다. <LF> 나중엔 누가 밀쳐서 넘어질 뻔했어. <LF> 다치진 않았어? <LF> 다행히 괜찮았어. 다음부턴 일찍 나가야겠어.정말 지하철 매너 교육 다시 필요해.출근길은 진짜 매일 전쟁이야. <LF> 가끔은 자전거 출근도 고민 중이야
일반 대화,"어제 랭크전 돌렸어? <LF> 응. 새벽까지 했는데 승률 별로였어. <LF> 어느 티어야? <LF> 골드3인데 플래티넘 가고 싶어. <LF> 요즘 메타 챔프 뭐야? <LF> 정글은 바이, 탑은 오른이 강해. <LF> 팀운은 어땠어? <LF> 탑이 계속 던져서 답답했어. <LF> 듀오 해볼까? 나 서폿 가능해. <LF> 좋지. 오늘 밤 같이 돌리자. <LF> 티어 올릴 땐 멘탈 관리도 중요해. <LF> 요즘 매칭 시스템은 좀 나아졌던데. <LF> 승급전만큼은 제발 운 좋길!","어제 랭크전 돌렸어?응. 새벽까지 했는데 승률 별로였어. <LF> 어느 티어야? <LF> 골드3인데 플래티넘 가고 . <LF> 요즘 메타 뭐야?정글은 바이, 탑은 오른이 강해. <LF> 팀운은 어땠어 <LF> 탑이 던져서 답답했어. <LF> 듀오 해볼까? 나 서폿 가능해 <LF> 좋지. 오늘 밤 같이 돌리자 <LF> 티어 올릴 땐 멘탈 관리도 중요해. <LF> 요즘 매칭 시스템은 좀 나아졌던데. <LF> 승급전만큼은 제발 운 좋길!"
일반 대화,어제 사진첩 정리하다가 고딩 시절 사진 봤어. <LF> 오 진짜? 완전 추억이겠다. <LF> 그때 머리 진짜 촌스러웠지. <LF> 교복도 지금 보면 꽤 구렸어. <LF> 그래도 우리 반 분위기 좋았잖아. <LF> 수학쌤이 유난히 엄격했지. <LF> 맞아. 매번 지각 체크하셨지. <LF> 체육 시간만 기다렸던 기억 나. <LF> 그립다. 그때는 걱정도 없었지. <LF> 나중에 친구들 모아서 얘기하자. <LF> 졸업식 날 단체 사진도 아직 가지고 있어. <LF> 그 시절 친구들 얼굴 그립다.,어제 사진첩 하다가 고딩 시절 사진 봤어. <LF> 오 진짜? 완전 추억이겠다. <LF> 그때 머리 진짜 . <LF> 교복도 지금 보면 구렸어. <LF> 그래도 우리 반 분위기 좋았잖아. <LF> 수학이 유난히 엄격했지. <LF> 맞아. 매번 지각 체크하셨지. <LF> 체육 시간만 기다렸던 기억 나. <LF> 그립다. 그때는 걱정도 없었지. <LF> 나중에 친구 모아서 얘기. <LF> 졸업식 날 단체 사진도 아직 가지고 있어 <LF> 그 시절 친구들 얼굴 그립다.
일반 대화,신용카드 바꾸고 싶어. <LF> 어떤 혜택 중시해? <LF> 영화랑 커피 할인 위주로. <LF> 그럼 A카드 괜찮을걸? <LF> 연회비는 좀 비싸지 않아? <LF> 만 원 초반이면 괜찮은 편이야. <LF> 적립은 잘 돼? <LF> 월 정산 기준으로 자동 캐시백돼. <LF> 실적 조건은 어때? <LF> 전월 30만 원 사용 기준이야. <LF> 정보 고마워. 비교해보고 신청할게. <LF> 혜택보다 내가 실제로 얼마나 쓰는지가 중요하지. <LF> 실사용 기준으로 비교해봐야 해.,신용카드 바꾸고 싶어. <LF> 어떤 혜택 중시해? <LF> 영화랑 커피 할인 위주로. <LF> 그럼 A카드 괜찮을걸? <LF> 회비는 좀 비싸지 ? <LF> 만 원 초반이면 괜찮은 편이야. <LF> 은 잘 돼? <LF> 월 으로 자동 캐시백돼. <LF> 실적 은 어때?전월 30만 원 기준이야. <LF> 정보 고마워. 비교해보고 신청할게.혜택보다 내가 실제 얼마나 중요하지. <LF> 실사용 기준 비교해봐야 .
일반 대화,강아지 건강검진 다녀왔어? <LF> 응. 다행히 큰 문제 없었어. <LF> 몇 살이지 이제? <LF> 이제 다섯 살. 벌써 그렇게 됐어. <LF> 검진 항목 많았어? <LF> 혈액검사랑 X-ray 기본으로 했어. <LF> 병원은 어땠어? <LF> 친절하고 대기시간도 짧았어. <LF> 비용은 좀 나왔겠네. <LF> 그래도 예방 차원에서 필요하지. <LF> 강아지도 건강이 제일이지. <LF> 나중에 치석 제거도 해주려고. <LF> 정기검진이 참 중요하더라.,강아지 다녀왔어? <LF> 응. 큰 문제 없었어. <LF> 몇 살이지 이제? <LF> 이제 살. 벌써 그렇게 됐어. <LF> 검진 항목 많았어? <LF> 혈액검사랑 X- 기본으로 했어. <LF> 병원은 어땠어? <LF> 친절하고 대기시간도 짧았어. <LF> 은 좀 나왔겠네. <LF> 그래도 차원에서 필요하지. <LF> 강아지도 건강이 제일이지. <LF> 나중에 치석 제거도 . <LF> 정기검진이 참 중요하더라.
일반 대화,편의점 갔다가 신상 과자 봤어? <LF> 초코칩 들어간 감자칩 말하는 거? <LF> 맞아! 궁금해서 사봤어. <LF> 어땠어? 맛 괜찮아? <LF> 달고 짭짤한 게 중독성 있더라. <LF> 칼로리는 높겠네? <LF> 한 봉지 500kcal 넘더라. <LF> 다 먹었어? <LF> 반만 먹고 밀봉했어. 참느라 힘들었어. <LF> 음료랑도 잘 어울릴까? <LF> 콜라랑 찰떡이었어. 위험한 조합이야. <LF> 한정판이라서 금방 품절될 듯. <LF> 편의점 신상 정보는 진짜 빠르다.,신상 과자 봤어 <LF> 초코칩 들어간 감자칩 말 거? <LF> 맞아! 궁금해서 사봤어. <LF> 어땠어? 맛 ? <LF> 달고 짭짤한 게 중독성 있더라. <LF> 칼로리는 높겠네? <LF> 한 봉지 kcal 넘더라. <LF> 다 먹었어? <LF> 반만 먹고 밀봉했어. 참느라 힘들었어.음료랑도 잘 어울릴까? <LF> 콜라랑 찰떡. 위험한 조합이야. <LF> 한정판이라서 금방 품절될 듯. <LF> 편의점 신상 는 진짜 빠르다.
일반 대화,이번 주말에 등산 갈래? <LF> 좋아. 날씨만 괜찮으면. <LF> 어디로 갈까? <LF> 청계산 가볍게 다녀오자. <LF> 출발은 몇 시쯤? <LF> 아침 7시쯤? 덥기 전에. <LF> 간식은 챙겨야지? <LF> 바나나랑 에너지바 정도? <LF> 하산 후엔 뭐 먹을까? <LF> 칼국수 먹자. 등산 후 국물은 진리야. <LF> 운동도 하고 힐링도 하고 딱이네. <LF> 사진도 많이 찍자. 정상에서 셀카는 필수! <LF> 물 많이 챙기고 준비 단단히 하자.,이번 주말에 등산 갈래? <LF> 좋아. 날씨만 괜찮으면. <LF> 어디로 갈까? <LF>  가볍게 다녀오자. <LF> 출발은 몇 시쯤? <LF> 아침 7시쯤? 덥기 에간식은 ?바나나랑 에너지 ? <LF> 하산 엔 뭐 먹을까? <LF> 칼국수 먹자. 등산 국물은 진리야. <LF> 운동도 하고 힐링도 하고 . <LF> 사진도 많이 찍자. 정상에서 는 필수! <LF> 물 많이 챙기고 준비 단단히 하자.
일반 대화,오늘 택시 탔는데 기사님이 엄청 말이 많더라. <LF> 무슨 이야기 하셨어? <LF> 요즘 택시 기사들 힘들다면서 하소연하시더라. <LF> 그럴 수도 있겠다. 물가도 올랐고. <LF> 응. 그런데 라디오 꺼달라 하니까 기분 나빠하시더라. <LF> 애매했겠다. 불편하진 않았어? <LF> 조금 어색했어. 그냥 창밖만 봤지. <LF> 택시 탈 때 조용한 분위기 선호하지? <LF> 응. 목적지만 말하고 조용히 가는 게 좋아. <LF> 다음부턴 카카오택시로 요청사항 넣어야겠어.,오늘 택시 탔는데 기사님이 엄청 말이 많더라 <LF> 무슨 이야기 ? <LF> 요즘 택시 기사들 힘들다면서 하소연하시더라. <LF> 그럴 수도 있겠다. 물가도 . <LF> 응. 그런데 꺼달라 기분 나빠하시더라.. 불편하진 않았어? <LF> 조금 어색했어. 그냥 창밖만 봤지. <LF> 택시 탈 때 조용한 하지? <LF> 응. 목적지만 말하고 가는 게 좋아. <LF> 다음부턴 카카오택시로 요청사항 넣어야겠어.
일반 대화,우리 집 강아지 병원 다녀왔어. <LF> 무슨 일 있어? <LF> 아니야. 예방접종 시기라서. <LF> 다행이네. 병원은 괜찮았어? <LF> 응. 친절했고 대기 시간도 짧았어. <LF> 강아지는 무서워했지? <LF> 겁먹어서 안겨서 덜덜 떨더라. <LF> 끝나고 간식 줬어? <LF> 응. 간식 먹고 기분 풀렸어. <LF> 정기검진도 했어? <LF> 응. 치석도 좀 있다고 해서 스케일링 예약했어. <LF> 건강할 때 챙기는 게 중요하지. <LF> 다녀오고 나니까 안심됐어. <LF> 다음엔 건강검진도 해보려 해.,우리 집 강아지 병원 다녀왔어. <LF> 무슨 일 ?아니야. 예방접종 시기라서.다행이네. 병원은 괜찮았어? <LF> 응. 대기 시간도 짧았어 <LF> 강아지 무서워했지? <LF> 먹어서 안겨서 덜덜 떨더라. <LF> 끝나고 간식 ? <LF> 응. 간식 기분 풀렸어 <LF> 정기검진도 했어 <LF> . 치석도 좀 있다고 해서 스케일링 예약했어. <LF> 건강할 때 챙기는 게 중요하지. <LF> 다녀오고 나니까 안심 <LF> 다음엔 건강검진도 해보려 해.
일반 대화,어깨 통증 때문에 병원 다녀왔어. <LF> 진료는 어땠어? <LF> 초음파 찍었는데 근육이 살짝 염증 있대. <LF> 자세 때문에 그런가? <LF> 응. 컴퓨터 오래 써서 그런 듯. <LF> 물리치료도 받아? <LF> 받고 왔어. 전기 자극 같은 거 했어. <LF> 효과 있던데? <LF> 조금 나아진 느낌이야. <LF> 스트레칭도 하래? <LF> 응. 매일 조금씩 하래. <LF> 꾸준히 관리해야겠다. <LF> 맞아. 안 그러면 만성화된대. <LF> 의자 높이도 바꾸래. <LF> 자세부터 신경 써야겠어.,어깨 때문에 병원 다녀왔어. <LF> 진료는 어땠어? <LF> 초음파 찍었는데 근육이 살짝 염증 있대. <LF> 자세 때문 그런가? <LF> 응. 컴퓨터 오래 그런 듯 <LF>  ? <LF>  . 전기 자극 같은 거 . <LF> 효과 있던데 <LF> 조금 나아진 느낌이야. <LF> 스트레칭도 하래? <LF> 응 매일 조금씩 하래. <LF> 꾸준히 관리해야겠다. <LF> . 안 그러면 성화된대. <LF>  높이도 바꾸래. <LF> 자세부터 신경 써야겠어.
일반 대화,오늘 점심시간에 은행 갔다 왔어. <LF> 사람 많았지? <LF> 응. 20분 넘게 기다렸어. <LF> 무슨 일로 갔어? <LF> 계좌 신규랑 모바일 OTP 설정하려고. <LF> 직원 친절했어? <LF> 응. 설명도 잘해주셨어. <LF> 모바일 OTP는 어때? <LF> 편하긴 한데 초기 설정이 좀 귀찮더라. <LF> 신분증도 필요했겠네. <LF> 응. 신분증이랑 서명도 했어. <LF> 이제 계좌 하나 더 생겼네. <LF> 번호표 뽑는 시스템도 업그레이드됐더라. <LF> 요즘엔 거의 모바일 중심이야.,오늘 점심시간에 은행 갔다 왔어 <LF> 사람 많았지? <LF> 응. 20분 넘게 기다렸어. <LF> 무슨 일로 갔어? <LF> 계좌 신규랑 모바일 OTP 설정하려고. <LF> 직원 ? <LF> 응 설명도 잘해주셨어. <LF> 모바일 OTP는 어때 <LF> 편하긴 한데 초기 설정 좀 귀찮더라. <LF> 신분증도 필요했겠네. <LF> 응. 신분증이랑 서명도 했어. <LF> 이제 계좌 더 생겼네. <LF> 번호표 시스템도 업그레이드됐더라. <LF> 요즘엔 거의 모바일 중심이야
일반 대화,오늘 인턴이 서류를 잘못 보냈어. <LF> 어떻게 처리했어? <LF> 부장님이 바로 회수하라고 하셨지. <LF> 많이 혼났어? <LF> 그래도 부드럽게 말씀하시긴 했어. <LF> 다행이네. 실수는 누구나 하니까. <LF> 맞아. 나도 입사 초반에 그런 적 있어. <LF> 인턴이 기 죽진 않았어? <LF> 조금 위축됐지만 잘 마무리하더라. <LF> 다음부턴 체크 잘 하겠지. <LF> 응. 이번 기회로 배운 것 같아. <LF> 그래도 초반이라서 실수한 거야. <LF> 앞으로는 꼼꼼하게 할 거야.,오늘 인턴이 를 잘못 보냈어 <LF>  처리했어? <LF> 부장님이 바로 회수하 하셨지. <LF> 많이 ? <LF> 그래도 부드럽게 말씀하시긴 했어. <LF> 다행. 실수는 누구나 하니까. <LF> . 나도 입사 초반에 그런 적 있어. <LF> 인턴이 기 죽진 않았어? <LF> 조금 위축됐지만 잘 마무리하더라. <LF> 다음부턴 체크 잘 . <LF> 응. 기회로 배운 같아.그래도 초반이라서 실수한 거야. <LF> 앞 꼼꼼하게 할 거야.
일반 대화,요즘 밤마다 시끄럽지 않아? <LF> 응. 옆 건물 공사 소리 장난 아니야. <LF> 밤에 공사해도 돼? <LF> 9시 넘어서까지 하던데 불법 아닐까? <LF> 구청에 신고해봤어? <LF> 어제 민원 넣었어. 조치한다더라. <LF> 이웃들도 다 불만 많대. <LF> 요즘 다들 예민한데 큰일이지. <LF> 잠 설치는 날이 많아졌어. <LF> 귀마개 써도 소용없더라. <LF> 빨리 해결됐으면 좋겠다. <LF> 낮에도 작업 소리 들려. <LF> 창문 닫아도 쿵쿵 울려.,요즘 밤마다 시끄럽지 않아? <LF> 응. 옆 건물 공사 장난 아니야. <LF> 밤에 공사해도 돼?9시 넘어서까지 하던데 불법 아닐까? <LF> 구청에 신고해봤어? <LF>  민원 넣었어. 조치한다더라. <LF> 이웃들도 다 불만 많대. <LF> 요즘 다들 예민한데 큰일이지. <LF> 잠 설치는 날이 많아졌어 <LF> 귀마개 써도 소용없더라. <LF> 빨리 해결됐으면 좋겠다. <LF> 낮에도 작업 소리 들려.창문 닫아도 쿵쿵 울려.
